"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-13.csv 1 10",,,,"Date:","26 Mar 2020 13:24:24 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
359477248.0,131403776.0,547483648.0,1059123200.0,26-03 13:24:24
359477248.0,131403776.0,547467264.0,1059139584.0,26-03 13:24:25
359477248.0,131403776.0,547467264.0,1059139584.0,26-03 13:24:26
359477248.0,131403776.0,547467264.0,1059139584.0,26-03 13:24:27
359477248.0,131403776.0,547467264.0,1059139584.0,26-03 13:24:28
359477248.0,131403776.0,547467264.0,1059139584.0,26-03 13:24:29
359473152.0,131407872.0,547467264.0,1059139584.0,26-03 13:24:30
359473152.0,131407872.0,547467264.0,1059139584.0,26-03 13:24:31
359473152.0,131407872.0,547467264.0,1059139584.0,26-03 13:24:32
359473152.0,131407872.0,547467264.0,1059139584.0,26-03 13:24:33
359473152.0,131407872.0,547467264.0,1059139584.0,26-03 13:24:34
