"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-0.csv 1 10",,,,"Date:","26 Mar 2020 13:20:26 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
300716032.0,125980672.0,545087488.0,1125703680.0,26-03 13:20:26
300777472.0,125984768.0,545087488.0,1125638144.0,26-03 13:20:27
300740608.0,125984768.0,545091584.0,1125670912.0,26-03 13:20:28
300740608.0,125984768.0,545091584.0,1125670912.0,26-03 13:20:29
300740608.0,125984768.0,545091584.0,1125670912.0,26-03 13:20:30
300740608.0,125984768.0,545091584.0,1125670912.0,26-03 13:20:31
300740608.0,125984768.0,545091584.0,1125670912.0,26-03 13:20:32
300736512.0,125988864.0,545091584.0,1125670912.0,26-03 13:20:33
300736512.0,125988864.0,545091584.0,1125670912.0,26-03 13:20:34
300736512.0,125988864.0,545091584.0,1125670912.0,26-03 13:20:35
300736512.0,125988864.0,545091584.0,1125670912.0,26-03 13:20:36
