"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-16.csv 1 10",,,,"Date:","26 Mar 2020 13:25:49 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
374321152.0,133840896.0,548245504.0,1041080320.0,26-03 13:25:49
374329344.0,133840896.0,548237312.0,1041080320.0,26-03 13:25:50
374329344.0,133840896.0,548237312.0,1041080320.0,26-03 13:25:51
374329344.0,133840896.0,548237312.0,1041080320.0,26-03 13:25:52
374329344.0,133840896.0,548237312.0,1041080320.0,26-03 13:25:53
374329344.0,133840896.0,548237312.0,1041080320.0,26-03 13:25:54
374325248.0,133844992.0,548237312.0,1041080320.0,26-03 13:25:55
374325248.0,133844992.0,548237312.0,1041080320.0,26-03 13:25:56
374325248.0,133844992.0,548237312.0,1041080320.0,26-03 13:25:57
374325248.0,133844992.0,548237312.0,1041080320.0,26-03 13:25:58
374325248.0,133844992.0,548237312.0,1041080320.0,26-03 13:25:59
