"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-1.csv 1 10",,,,"Date:","26 Mar 2020 13:20:37 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
305258496.0,126050304.0,545173504.0,1121005568.0,26-03 13:20:37
305143808.0,126050304.0,545222656.0,1121071104.0,26-03 13:20:38
305143808.0,126050304.0,545222656.0,1121071104.0,26-03 13:20:39
305143808.0,126050304.0,545222656.0,1121071104.0,26-03 13:20:40
305143808.0,126050304.0,545222656.0,1121071104.0,26-03 13:20:41
305143808.0,126050304.0,545222656.0,1121071104.0,26-03 13:20:42
305135616.0,126058496.0,545222656.0,1121071104.0,26-03 13:20:43
305102848.0,126058496.0,545222656.0,1121103872.0,26-03 13:20:44
305102848.0,126058496.0,545222656.0,1121103872.0,26-03 13:20:45
305102848.0,126058496.0,545222656.0,1121103872.0,26-03 13:20:46
305102848.0,126058496.0,545222656.0,1121103872.0,26-03 13:20:47
