"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-18.csv 1 10",,,,"Date:","26 Mar 2020 13:26:49 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
384098304.0,135688192.0,548773888.0,1028927488.0,26-03 13:26:49
384180224.0,135688192.0,548790272.0,1028829184.0,26-03 13:26:50
384180224.0,135688192.0,548790272.0,1028829184.0,26-03 13:26:51
384180224.0,135688192.0,548790272.0,1028829184.0,26-03 13:26:52
384176128.0,135688192.0,548794368.0,1028829184.0,26-03 13:26:53
384176128.0,135688192.0,548794368.0,1028829184.0,26-03 13:26:54
384167936.0,135696384.0,548794368.0,1028829184.0,26-03 13:26:55
384167936.0,135696384.0,548794368.0,1028829184.0,26-03 13:26:56
384167936.0,135696384.0,548794368.0,1028829184.0,26-03 13:26:57
384167936.0,135696384.0,548794368.0,1028829184.0,26-03 13:26:58
384167936.0,135696384.0,548794368.0,1028829184.0,26-03 13:26:59
