"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-15.csv 1 10",,,,"Date:","26 Mar 2020 13:25:20 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
369418240.0,133046272.0,547987456.0,1047035904.0,26-03 13:25:20
369623040.0,133046272.0,547979264.0,1046839296.0,26-03 13:25:21
369623040.0,133046272.0,547979264.0,1046839296.0,26-03 13:25:22
369623040.0,133046272.0,547979264.0,1046839296.0,26-03 13:25:23
369618944.0,133046272.0,547983360.0,1046839296.0,26-03 13:25:24
369618944.0,133046272.0,547983360.0,1046839296.0,26-03 13:25:25
369614848.0,133050368.0,547983360.0,1046839296.0,26-03 13:25:26
369614848.0,133050368.0,547983360.0,1046839296.0,26-03 13:25:27
369614848.0,133050368.0,547983360.0,1046839296.0,26-03 13:25:28
369614848.0,133050368.0,547983360.0,1046839296.0,26-03 13:25:29
369614848.0,133050368.0,547983360.0,1046839296.0,26-03 13:25:30
