"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-17.csv 1 10",,,,"Date:","26 Mar 2020 13:26:18 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
379789312.0,134660096.0,548507648.0,1034530816.0,26-03 13:26:18
379854848.0,134660096.0,548507648.0,1034465280.0,26-03 13:26:19
379854848.0,134660096.0,548507648.0,1034465280.0,26-03 13:26:20
379850752.0,134660096.0,548511744.0,1034465280.0,26-03 13:26:21
379850752.0,134660096.0,548511744.0,1034465280.0,26-03 13:26:22
379817984.0,134660096.0,548511744.0,1034498048.0,26-03 13:26:23
379817984.0,134668288.0,548511744.0,1034489856.0,26-03 13:26:24
379817984.0,134668288.0,548511744.0,1034489856.0,26-03 13:26:25
379817984.0,134668288.0,548511744.0,1034489856.0,26-03 13:26:26
379817984.0,134668288.0,548511744.0,1034489856.0,26-03 13:26:27
379817984.0,134668288.0,548511744.0,1034489856.0,26-03 13:26:28
