"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-9.csv 1 10",,,,"Date:","26 Mar 2020 13:22:49 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
341209088.0,128860160.0,546516992.0,1080901632.0,26-03 13:22:49
341196800.0,128860160.0,546578432.0,1080852480.0,26-03 13:22:50
341196800.0,128860160.0,546578432.0,1080852480.0,26-03 13:22:51
341196800.0,128860160.0,546578432.0,1080852480.0,26-03 13:22:52
348573696.0,128860160.0,546578432.0,1073475584.0,26-03 13:22:53
348573696.0,128860160.0,546578432.0,1073475584.0,26-03 13:22:54
348565504.0,128868352.0,546578432.0,1073475584.0,26-03 13:22:55
348565504.0,128868352.0,546578432.0,1073475584.0,26-03 13:22:56
348565504.0,128868352.0,546578432.0,1073475584.0,26-03 13:22:57
348565504.0,128868352.0,546578432.0,1073475584.0,26-03 13:22:58
348565504.0,128868352.0,546578432.0,1073475584.0,26-03 13:22:59
