"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-4.csv 1 10",,,,"Date:","26 Mar 2020 13:21:17 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
323067904.0,126640128.0,545595392.0,1102184448.0,26-03 13:21:17
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:18
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:19
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:20
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:21
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:22
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:23
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:24
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:25
322928640.0,126640128.0,545669120.0,1102249984.0,26-03 13:21:26
322895872.0,126640128.0,545669120.0,1102282752.0,26-03 13:21:27
