"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-19.csv 1 10",,,,"Date:","26 Mar 2020 13:27:22 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
390975488.0,136720384.0,549011456.0,1020780544.0,26-03 13:27:22
390971392.0,136720384.0,549081088.0,1020715008.0,26-03 13:27:23
390971392.0,136720384.0,549081088.0,1020715008.0,26-03 13:27:24
390971392.0,136720384.0,549081088.0,1020715008.0,26-03 13:27:25
390971392.0,136720384.0,549081088.0,1020715008.0,26-03 13:27:26
391004160.0,136720384.0,549081088.0,1020682240.0,26-03 13:27:27
391000064.0,136720384.0,549085184.0,1020682240.0,26-03 13:27:28
391000064.0,136720384.0,549085184.0,1020682240.0,26-03 13:27:29
391000064.0,136720384.0,549085184.0,1020682240.0,26-03 13:27:30
391000064.0,136720384.0,549085184.0,1020682240.0,26-03 13:27:31
391000064.0,136720384.0,549085184.0,1020682240.0,26-03 13:27:32
