"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-20.csv 1 10",,,,"Date:","26 Mar 2020 13:27:55 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
396767232.0,137666560.0,549367808.0,1013686272.0,26-03 13:27:55
396738560.0,137666560.0,549380096.0,1013702656.0,26-03 13:27:56
396738560.0,137666560.0,549380096.0,1013702656.0,26-03 13:27:57
396738560.0,137666560.0,549380096.0,1013702656.0,26-03 13:27:58
396738560.0,137666560.0,549380096.0,1013702656.0,26-03 13:27:59
396738560.0,137666560.0,549380096.0,1013702656.0,26-03 13:28:00
396734464.0,137670656.0,549380096.0,1013702656.0,26-03 13:28:01
396734464.0,137670656.0,549380096.0,1013702656.0,26-03 13:28:02
396734464.0,137670656.0,549380096.0,1013702656.0,26-03 13:28:03
396734464.0,137670656.0,549380096.0,1013702656.0,26-03 13:28:04
396734464.0,137670656.0,549380096.0,1013702656.0,26-03 13:28:05
