"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-5.csv 1 10",,,,"Date:","26 Mar 2020 13:21:33 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
326541312.0,126775296.0,545767424.0,1098403840.0,26-03 13:21:33
326545408.0,126775296.0,545828864.0,1098338304.0,26-03 13:21:34
326545408.0,126775296.0,545828864.0,1098338304.0,26-03 13:21:35
326545408.0,126775296.0,545828864.0,1098338304.0,26-03 13:21:36
326545408.0,126775296.0,545828864.0,1098338304.0,26-03 13:21:37
326545408.0,126775296.0,545828864.0,1098338304.0,26-03 13:21:38
326541312.0,126779392.0,545828864.0,1098338304.0,26-03 13:21:39
326541312.0,126779392.0,545828864.0,1098338304.0,26-03 13:21:40
326541312.0,126779392.0,545828864.0,1098338304.0,26-03 13:21:41
326508544.0,126779392.0,545828864.0,1098371072.0,26-03 13:21:42
326508544.0,126779392.0,545828864.0,1098371072.0,26-03 13:21:43
