"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-2.csv 1 10",,,,"Date:","26 Mar 2020 13:20:49 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
313081856.0,126164992.0,545284096.0,1112956928.0,26-03 13:20:49
312975360.0,126164992.0,545366016.0,1112981504.0,26-03 13:20:50
312975360.0,126164992.0,545366016.0,1112981504.0,26-03 13:20:51
312975360.0,126164992.0,545366016.0,1112981504.0,26-03 13:20:52
312975360.0,126164992.0,545366016.0,1112981504.0,26-03 13:20:53
312975360.0,126164992.0,545366016.0,1112981504.0,26-03 13:20:54
312967168.0,126173184.0,545366016.0,1112981504.0,26-03 13:20:55
312967168.0,126173184.0,545366016.0,1112981504.0,26-03 13:20:56
312934400.0,126173184.0,545366016.0,1113014272.0,26-03 13:20:57
312934400.0,126173184.0,545366016.0,1113014272.0,26-03 13:20:58
312934400.0,126173184.0,545366016.0,1113014272.0,26-03 13:20:59
