"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-8.csv 1 10",,,,"Date:","26 Mar 2020 13:22:28 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
337227776.0,128274432.0,546295808.0,1085689856.0,26-03 13:22:28
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:29
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:30
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:31
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:32
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:33
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:34
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:35
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:36
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:37
337137664.0,128274432.0,546385920.0,1085689856.0,26-03 13:22:38
