"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-12.csv 1 10",,,,"Date:","26 Mar 2020 13:23:58 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
360390656.0,130596864.0,547131392.0,1059368960.0,26-03 13:23:58
360239104.0,130596864.0,547233792.0,1059418112.0,26-03 13:23:59
360239104.0,130596864.0,547233792.0,1059418112.0,26-03 13:24:00
360239104.0,130596864.0,547233792.0,1059418112.0,26-03 13:24:01
360206336.0,130596864.0,547233792.0,1059450880.0,26-03 13:24:02
366338048.0,130596864.0,547233792.0,1053319168.0,26-03 13:24:03
366309376.0,130600960.0,547233792.0,1053343744.0,26-03 13:24:04
366309376.0,130600960.0,547233792.0,1053343744.0,26-03 13:24:05
366309376.0,130600960.0,547233792.0,1053343744.0,26-03 13:24:06
366309376.0,130600960.0,547233792.0,1053343744.0,26-03 13:24:07
366309376.0,130600960.0,547233792.0,1053343744.0,26-03 13:24:08
