"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-6.csv 1 10",,,,"Date:","26 Mar 2020 13:21:51 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
330305536.0,127209472.0,545923072.0,1094049792.0,26-03 13:21:51
330153984.0,127209472.0,546009088.0,1094115328.0,26-03 13:21:52
330153984.0,127209472.0,546009088.0,1094115328.0,26-03 13:21:53
330153984.0,127209472.0,546009088.0,1094115328.0,26-03 13:21:54
330153984.0,127209472.0,546009088.0,1094115328.0,26-03 13:21:55
330153984.0,127209472.0,546009088.0,1094115328.0,26-03 13:21:56
330149888.0,127213568.0,546009088.0,1094115328.0,26-03 13:21:57
330158080.0,127213568.0,546009088.0,1094107136.0,26-03 13:21:58
330125312.0,127213568.0,546009088.0,1094139904.0,26-03 13:21:59
330125312.0,127213568.0,546009088.0,1094139904.0,26-03 13:22:00
330125312.0,127213568.0,546009088.0,1094139904.0,26-03 13:22:01
