"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-14.csv 1 10",,,,"Date:","26 Mar 2020 13:24:50 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
364777472.0,132268032.0,547684352.0,1052758016.0,26-03 13:24:50
364695552.0,132268032.0,547725312.0,1052798976.0,26-03 13:24:51
364695552.0,132268032.0,547725312.0,1052798976.0,26-03 13:24:52
364695552.0,132268032.0,547725312.0,1052798976.0,26-03 13:24:53
364695552.0,132268032.0,547725312.0,1052798976.0,26-03 13:24:54
364695552.0,132268032.0,547725312.0,1052798976.0,26-03 13:24:55
364691456.0,132268032.0,547729408.0,1052798976.0,26-03 13:24:56
364699648.0,132268032.0,547729408.0,1052790784.0,26-03 13:24:57
364699648.0,132268032.0,547729408.0,1052790784.0,26-03 13:24:58
364699648.0,132268032.0,547729408.0,1052790784.0,26-03 13:24:59
364699648.0,132268032.0,547729408.0,1052790784.0,26-03 13:25:00
