"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lxc-reproduction",,,,"User:","root"
"Cmdline:","dstat -m -t -o cont-10.csv 1 10",,,,"Date:","26 Mar 2020 13:23:10 UTC"

"memory usage",,,,"system"
"used","buff","cach","free","time"
347738112.0,129400832.0,546787328.0,1073561600.0,26-03 13:23:10
347799552.0,129400832.0,546791424.0,1073496064.0,26-03 13:23:11
347799552.0,129400832.0,546791424.0,1073496064.0,26-03 13:23:12
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:13
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:14
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:15
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:16
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:17
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:18
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:19
357212160.0,129400832.0,546791424.0,1064083456.0,26-03 13:23:20
